"whale_num","whale_ID","dive_num","dive_type","descent_dur","ascent_dur","descent_rate","ascent_rate","dive_dur","post_dive_surf","t_to_click","click_dur","fluke_rate","odba","max_depth","head_var"
9," zc05_170a ",11,0,3.963333,6.703333,0.675656,0.344058,0.2385,10.12,0.264472,0,0.080237,0.682416,153.966325,0.085822
9," zc05_170a ",12,0,13.93,24.053333,1.407496,0.833883,1.044333,3.326667,0.329444,0.581056,0.239155,1.57708,1337.434918,0.13546
9," zc05_170a ",13,0,1.946667,2.973333,0.68715,0.375657,0.105778,4.503333,0.168222,0,0.060673,0.693899,74.637394,0.073849
9," zc05_170a ",14,0,14.2,25.91,1.281285,0.691875,0.820389,20.516667,0.568222,0.451444,0.218494,1.448024,1194.978982,0.178795
9," zc05_170a ",15,0,2.073333,3.433333,1.83239,0.929365,0.110778,1.48,0.1155,0,0.239468,2.079118,214.273796,0.318029
9," zc05_170a ",16,0,12.31,18.893333,1.452796,0.973525,0.769,6.257245,1.42661,0.57296,0.280453,1.987138,1226.276309,0.171394
10," zc06_204a ",1,0,6.39,4.78,0.67262,0.819098,0.279222,2.496667,0.563944,0,0.084802,0.380188,261.064671,0.04774
10," zc06_204a ",2,0,7.79,3.913333,0.464095,0.845647,0.287722,7.983333,0.234611,0,0.067038,0.373374,220.658162,0.015125
10," zc06_204a ",3,0,9.076667,19.83,1.503174,0.634802,1.149889,0.893333,3.497611,0.65225,0.230817,0.964914,841.069462,0.062277
10," zc06_204a ",4,0,4.356667,5.743333,1.035517,0.687192,0.236833,1.556667,3.245889,0,0.182027,0.7369,265.056952,0.038279
10," zc06_204a ",5,0,4.583333,4.24,0.688237,0.649685,0.221833,6.257245,2.998111,0,0.162487,0.601737,185.812839,0.006091
11," zc06_205a ",1,0,2.456667,4.286667,2.266471,1.029013,0.262778,1.58,0.819333,0,0.089019,0.379072,294.030262,0.040502
11," zc06_205a ",2,0,7.306667,3.126667,0.451697,0.995089,0.258833,1.556667,0.534167,0,0.068706,0.345799,207.542924,0.026109
11," zc06_205a ",3,0,7.916667,2.386667,0.399267,1.227072,0.276333,1.573333,0.231889,0,0.061728,0.310918,195.24712,0.01954
11," zc06_205a ",4,0,2.35,1.756667,1.226543,1.214822,0.090667,2.8,0.115,0,0.29149,0.856911,142.422841,0.014637
11," zc06_205a ",5,0,12.003333,14.623333,1.181853,0.902018,0.818389,2.05,1.651833,0.514111,0.28316,1.045539,879.642453,0.116601
11," zc06_205a ",6,0,6.19,4.836667,0.723598,0.86208,0.248722,1.62,1.368944,0,0.110139,0.403422,278.247161,0.039792
11," zc06_205a ",7,0,7.046667,3.083333,0.583571,1.208428,0.256333,1.573333,1.085611,0,0.089559,0.335663,248.596609,0.017928
11," zc06_205a ",8,0,6.686667,3.5,0.560115,0.977181,0.261833,1.426667,0.797556,0,0.069269,0.294571,228.106084,0.01381
11," zc06_205a ",9,0,7.3,3.566667,0.523434,1.007941,0.257111,1.336667,0.516667,0,0.11032,0.364423,239.636505,0.018627
11," zc06_205a ",10,0,4.616667,3.28,0.793052,0.919618,0.236556,1.77,0.257833,0,0.099978,0.363455,201.089113,0.026379
11," zc06_205a ",11,0,4.733333,1.043333,0.345526,1.423825,0.112556,2.406667,0.115778,0,0.225561,0.633729,99.071566,0.065357
11," zc06_205a ",12,0,15.233333,28.996667,0.86183,0.459776,0.8695,2.12,2.656,0.429083,0.266875,0.927989,888.806833,0.130724
11," zc06_205a ",13,0,4.006667,5.523333,1.687642,1.081845,0.269389,2.06,2.351278,0,0.16053,0.608833,398.490884,0.100269
11," zc06_205a ",14,0,6.27,6.026667,0.687423,0.62322,0.262556,1.726667,2.054389,0,0.117092,0.530722,250.479645,0.079605
11," zc06_205a ",15,0,4.456667,7.2,0.98948,0.580442,0.242667,1.48,1.782944,0,0.107291,0.468408,278.637547,0.106599
11," zc06_205a ",16,0,5.42,5.316667,1.053783,1.004817,0.253056,0.956667,1.505222,0,0.151303,0.634002,356.261974,0.129729
11," zc06_205a ",17,0,10.846667,3.876667,0.487161,1.69587,0.300389,1.943333,1.188889,0,0.189241,0.873204,438.603702,0.124297
